kc.kobo.local | 192.168.1.8 - kobo [01/Jun/2021:02:06:06 +0000] "GET /kobo/ HTTP/1.1" 200 (5786 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/css/phaseout/bootstrap.min.css HTTP/1.1" 200 (19400 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/css/screen.css?v=2809679b01 HTTP/1.1" 200 (4912 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/css/ona-screen-overrides.css HTTP/1.1" 200 (77 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/css/font-awesome.min.css HTTP/1.1" 200 (4709 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/bootstrap/css/bootstrap-responsive.min.css HTTP/1.1" 200 (4003 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/css/kobo-branding.css HTTP/1.1" 200 (2993 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/css/published_forms.css HTTP/1.1" 200 (363 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/css/data_pages.css HTTP/1.1" 200 (605 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/css/vex.css HTTP/1.1" 200 (894 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/css/vex-theme-kobo.css HTTP/1.1" 200 (1694 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/css/footable.css HTTP/1.1" 200 (968 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/js/jquery.min.js HTTP/1.1" 200 (32835 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/js/jquery-migrate.min.js HTTP/1.1" 200 (3043 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/js/jquery.tablesorter.min.js HTTP/1.1" 200 (4859 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/bootstrap/js/bootstrap.js HTTP/1.1" 200 (11299 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/bootstrap/js/bootstrapx-clickover.js HTTP/1.1" 200 (2438 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/css/normalize.css HTTP/1.1" 200 (2651 bytes) "http://kc.kobo.local/static/css/kobo-branding.css" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - kobo [01/Jun/2021:02:06:06 +0000] "GET /jsi18n/ HTTP/1.1" 200 (758 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/bootstrap/js/bootstrapx-clickover-btns.js HTTP/1.1" 200 (1483 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/js/application.js?v=202003111451 HTTP/1.1" 200 (1831 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/js/vex.combined.min.js HTTP/1.1" 200 (2310 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/js/footable.min.js HTTP/1.1" 200 (4716 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kc.kobo.local | 192.168.1.8 - - [01/Jun/2021:02:06:06 +0000] "GET /static/js/kobo-branding.js HTTP/1.1" 200 (455 bytes) "http://kc.kobo.local/kobo/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
